Index,Prompt,CLIP_Original,CLIP_Defended,CLIP_Diff,Flow_Original,Flow_Defended,Flow_Diff,LPIPS_Original,LPIPS_Defended,LPIPS_Diff
0,view of fruit signage in the farm,32.5444,32.5444,0.0000,0.3888,0.3888,0.0000,0.0615,0.0615,0.0000
1,friends hanging out at a coffee house,25.8553,21.1955,-4.6598,0.4442,0.1713,-0.2729,0.1131,0.1671,0.0540
2,a lizard on a bamboo,28.7602,30.9278,2.1675,0.0000,0.0000,0.0000,0.0220,0.0140,-0.0080
3,a woman sitting on a motorcycle looking around,30.4258,32.6949,2.2691,0.1160,0.2483,0.1323,0.0902,0.0852,-0.0049
4,little boy pretending to eat the watermelon,35.6849,34.9625,-0.7224,0.0000,0.0000,0.0000,0.0657,0.0931,0.0274
5,woman holding a pineapple,30.7828,31.6947,0.9119,0.0923,0.1350,0.0427,0.0651,0.0364,-0.0287
6,a steaming cup of tea by the window,30.5039,30.5039,0.0000,0.0000,0.0000,0.0000,0.0373,0.0373,0.0000
7,drone view of house near lake during golden hour,35.5464,32.2259,-3.3206,0.0000,0.0191,0.0191,0.0312,0.0278,-0.0034
8,a white yacht traveling on a river and passing under the bridge,29.3125,29.3125,0.0000,0.3146,0.3146,0.0000,0.0512,0.0512,0.0000
9,a crowd of people in a plaza in front of a government building,32.9221,33.0516,0.1295,0.0000,0.0000,0.0000,0.1002,0.0595,-0.0406
10,smoke and fire in birds eye view,30.4347,26.5825,-3.8523,0.5812,0.0000,-0.5812,0.0731,0.0279,-0.0452
11,a woman sitting on a bicycle while using a mobile phone,35.7689,37.2251,1.4562,0.5350,0.3724,-0.1627,0.0288,0.0204,-0.0084
12,cherry tree,26.1291,22.6280,-3.5011,0.6601,0.7936,0.1334,0.1672,0.0987,-0.0685
13,a harbour seal swimming near the shore,30.0306,30.0306,0.0000,0.2565,0.2565,0.0000,0.1555,0.1555,0.0000
14,view of a jack o lantern with pumpkins in a smoky garden,30.8713,30.3022,-0.5691,0.4558,0.4827,0.0270,0.0280,0.0297,0.0016
15,video of a bathroom interior,33.3971,35.7350,2.3379,0.6637,0.6409,-0.0227,0.0873,0.0963,0.0090
16,giraffe feeding on a tree in a savannah,29.9982,29.9982,0.0000,0.0000,0.0000,0.0000,0.0918,0.0918,0.0000
17,white fox on rock,33.5609,20.6193,-12.9417,0.0000,0.0000,0.0000,0.0088,0.0431,0.0342
18,a colorful butterfly perching on a bud,28.2814,28.2814,0.0000,0.0000,0.0000,0.0000,0.0598,0.0598,0.0000
19,boy getting a dumpling using chopsticks,33.9630,31.6336,-2.3294,0.0000,0.0000,0.0000,0.0781,0.1445,0.0664
20,girl peeling a banana,31.4244,31.2755,-0.1489,0.0000,0.0000,0.0000,0.1529,0.1388,-0.0142
21,snow pouring on a tree,30.4324,30.7798,0.3474,0.6020,0.4993,-0.1027,0.1245,0.1235,-0.0010
22,waterfalls in between mountain,27.1543,27.8971,0.7427,0.3257,0.2499,-0.0758,0.0878,0.0792,-0.0087
23,video of parrots perched on bird stand,31.4507,31.4507,0.0000,0.0000,0.0000,0.0000,0.0399,0.0399,0.0000
24,plant connected on the stones,24.8326,24.8404,0.0078,0.1738,0.2677,0.0939,0.0795,0.1016,0.0220
25,a person slicing a vegetable,32.9815,30.5658,-2.4157,0.0000,0.0000,0.0000,0.1310,0.1000,-0.0309
26,night travel in london street on a public bus,28.4966,29.6147,1.1181,0.0000,0.0000,0.0000,0.2153,0.1059,-0.1094
27,aerial view of farmlands at the bay of lake,31.3708,30.8238,-0.5469,0.0000,0.0000,0.0000,0.0212,0.0334,0.0122
28,close up of a prototype automobile with exposed engine on the back seat of the car,26.5164,26.3459,-0.1705,0.2926,0.8013,0.5087,0.0314,0.0257,-0.0057
29,empty seats in the bus,29.4139,27.5140,-1.8999,0.3045,0.2908,-0.0138,0.0695,0.1427,0.0732
30,a young woman playing the ukulele at home,28.7893,30.7317,1.9423,0.0000,0.0000,0.0000,0.1036,0.1042,0.0006
31,man using his phone while eating,32.0975,29.0308,-3.0666,0.0000,0.0000,0.0000,0.0973,0.1343,0.0370
32,a young female staff at courier office,25.7114,27.0881,1.3767,0.0000,0.0000,0.0000,0.0705,0.0695,-0.0010
33,graveyard at sunset,27.2109,27.5444,0.3335,0.1458,0.0660,-0.0798,0.1175,0.1134,-0.0041
34,flat lay mexican dish,25.6272,21.2774,-4.3498,0.5407,0.3844,-0.1563,0.0647,0.0003,-0.0644
35,chameleon eating ant,30.4279,30.4279,0.0000,0.0000,0.0000,0.0000,0.0378,0.0378,0.0000
36,the landscape in front of a government building,28.5416,28.2079,-0.3337,0.0000,0.0000,0.0000,0.0527,0.0410,-0.0117
37,video of passengers riding a double decker bus during night,32.4293,33.4263,0.9970,0.0000,0.1180,0.1180,0.1156,0.1209,0.0053
38,yacht sailing through the ocean,29.2243,29.2243,0.0000,0.2632,0.2632,0.0000,0.0494,0.0494,0.0000
39,couple dancing slow dance with sun glare,30.8410,27.0776,-3.7633,0.0000,0.0000,0.0000,0.1073,0.0529,-0.0544
40,footage of the road without any traffic,28.5964,25.5918,-3.0047,0.0000,0.0000,0.0000,0.0716,0.0976,0.0260
41,buddhist temple at sunrise,29.3786,29.3786,0.0000,0.0000,0.0000,0.0000,0.0193,0.0193,0.0000
42,preparing a cocktail drink,30.1555,28.7073,-1.4482,0.0000,0.0000,0.0000,0.0212,0.0372,0.0160
43,movie crew talking together,24.2153,22.8041,-1.4112,0.0000,0.0000,0.0000,0.0942,0.0738,-0.0205
44,cruise ship in harbor,27.7156,27.7156,0.0000,0.0000,0.0000,0.0000,0.0321,0.0321,0.0000
45,a zebra eating grass on the field,31.2058,32.5757,1.3699,0.0000,0.0000,0.0000,0.0365,0.0562,0.0197
46,pregnant woman exercising with trainer,34.7543,34.4926,-0.2617,0.0000,0.0000,0.0000,0.1022,0.0895,-0.0127
47,a nine banded armadillo searching for food,29.1801,29.1801,0.0000,0.1673,0.1673,0.0000,0.1508,0.1508,0.0000
48,workmates teasing a colleague in the work,23.2508,23.2264,-0.0244,0.0000,0.0000,0.0000,0.0398,0.0184,-0.0214
49,a mother and her kids engaged in a video call,34.4075,34.2386,-0.1689,0.0000,0.0000,0.0000,0.0712,0.0874,0.0162
50,exotic view of a riverfront city,26.7902,26.7902,0.0000,0.5919,0.5919,0.0000,0.0635,0.0635,0.0000
51,cutting an onion with a knife over a wooden chopping board,36.0328,37.9835,1.9507,0.0000,0.0000,0.0000,0.1230,0.1137,-0.0093
52,hedgehog crossing road in forest,33.1625,22.7215,-10.4410,0.0000,0.0000,0.0000,0.0655,0.1282,0.0627
53,sunlight inside a room,29.5036,25.5206,-3.9830,0.0914,0.5733,0.4819,0.0365,0.0136,-0.0229
54,tree with halloween decoration,33.1117,33.1117,0.0000,0.8783,0.8783,0.0000,0.1491,0.1491,0.0000
55,a miniature house,31.5021,31.6107,0.1086,0.4243,0.2476,-0.1768,0.0583,0.0750,0.0167
56,dad watching her daughter eat,25.4832,24.2750,-1.2082,0.1469,0.0110,-0.1358,0.0999,0.1118,0.0118
57,vertical video of camel roaming in the field during daytime,30.2849,25.0757,-5.2092,0.0000,0.3116,0.3116,0.1356,0.1476,0.0120
58,trunks of many trees in the forest,27.6558,28.7361,1.0803,0.8681,0.0000,-0.8681,0.0571,0.0711,0.0140
59,people carving a pumpkin,35.3507,34.3956,-0.9551,0.0000,0.0000,0.0000,0.0659,0.0687,0.0028
60,time lapse video of a farm during sunset,28.7471,28.7471,0.0000,0.2548,0.2548,0.0000,0.0145,0.0145,0.0000
61,top view of yachts,29.9710,27.7680,-2.2030,0.4546,0.5577,0.1031,0.0474,0.0655,0.0181
62,teacher writing on her notebook,27.0575,27.2406,0.1831,0.0000,0.0000,0.0000,0.0336,0.0297,-0.0039
63,the changing color of the tree leaves during autumn season,29.3229,30.1763,0.8534,0.7620,0.1275,-0.6345,0.1185,0.0967,-0.0218
64,fire in front of illuminated building at night,27.8028,32.0631,4.2603,0.0000,0.0000,0.0000,0.0962,0.0216,-0.0745
65,aerial view of a train passing by a bridge,30.2000,30.2000,0.0000,0.0000,0.0000,0.0000,0.0483,0.0483,0.0000
66,porcupine climbs tree branches,27.6117,27.6117,0.0000,0.2934,0.2934,0.0000,0.1540,0.1540,0.0000
67,twin sisters and a turtle,28.9165,28.9165,0.0000,0.3399,0.3399,0.0000,0.0685,0.0685,0.0000
68,view from hill on city,28.7825,21.2584,-7.5241,0.7406,0.9245,0.1839,0.0817,0.0933,0.0116
69,person making a vegetarian dish,27.4779,27.4779,0.0000,0.0000,0.0000,0.0000,0.1306,0.1306,0.0000
70,close up video of japanese food,30.9706,26.5803,-4.3902,0.3511,0.0000,-0.3511,0.0795,0.0427,-0.0368
71,a still video of mosquito biting human,30.1357,22.9329,-7.2028,0.0000,0.0000,0.0000,0.0386,0.0278,-0.0108
72,a car charging in the parking area,29.4311,25.5222,-3.9088,0.0000,0.0000,0.0000,0.0603,0.0786,0.0183
73,a wooden house overseeing the lake,27.3096,25.8400,-1.4696,0.6816,0.0000,-0.6816,0.0423,0.0595,0.0172
74,drone footage of a wreck ship on shore,31.4697,31.9649,0.4952,0.0000,0.0000,0.0000,0.0665,0.0540,-0.0125
75,slow motion footage of a racing car,30.0729,30.0823,0.0094,0.4629,0.4591,-0.0037,0.0547,0.0247,-0.0300
76,indoor farm in a greenhouse,30.6248,30.6248,0.0000,0.0237,0.0237,0.0000,0.0705,0.0705,0.0000
77,vehicles traveling on roadway under cloudy sky,32.0930,30.1023,-1.9907,0.0000,0.0000,0.0000,0.1294,0.0844,-0.0450
78,a male vendor selling fruits,29.8246,29.8246,0.0000,0.0000,0.0000,0.0000,0.1329,0.1329,0.0000
79,blue ocean near the brown castle,26.4401,26.4401,0.0000,0.0000,0.0000,0.0000,0.0287,0.0287,0.0000
80,a medium close up of women wearing kimonos,29.2641,27.4900,-1.7741,0.3441,0.0454,-0.2988,0.0821,0.1849,0.1028
81,fighter practice kicking,24.6377,13.9249,-10.7128,0.0000,0.0000,0.0000,0.2518,0.1260,-0.1259
82,person cooking mushrooms in frying pan,35.4355,31.1259,-4.3096,0.0000,0.0000,0.0000,0.0975,0.0860,-0.0115
83,aerial view of town and park,26.7129,26.2477,-0.4653,0.7653,0.3486,-0.4167,0.0828,0.0786,-0.0042
84,people enjoying asian cuisine,26.9132,29.8583,2.9451,0.0000,0.0000,0.0000,0.0774,0.0656,-0.0117
85,a graveyard by a church in a mountain landscape,30.0271,30.0271,0.0000,0.0000,0.0000,0.0000,0.0865,0.0865,0.0000
86,aerial footage of a city at night,31.4660,31.1378,-0.3282,0.1887,0.3061,0.1173,0.0623,0.0522,-0.0101
87,a sleeping orangutan,28.5752,28.5752,0.0000,0.0000,0.0000,0.0000,0.0679,0.0679,0.0000
88,scenic video of sunset,31.2759,30.4704,-0.8055,0.8011,0.4627,-0.3384,0.0479,0.0401,-0.0078
89,video of a train tracks,35.4027,34.7174,-0.6853,0.4510,0.6405,0.1895,0.2866,0.1035,-0.1832
90,aerial view of a luxurious house with pool,32.7624,32.7624,0.0000,0.5305,0.5305,0.0000,0.0413,0.0413,0.0000
91,a tractor harvesting lavender flower,38.0089,38.0089,0.0000,0.0716,0.0716,0.0000,0.1781,0.1781,0.0000
92,a footage of a broken bicycle,28.5837,29.1413,0.5576,0.6170,0.0000,-0.6170,0.0724,0.1054,0.0331
93,fog over temple,32.9506,26.8928,-6.0578,0.0000,0.3790,0.3790,0.0134,0.0400,0.0266
94,baby in the shower room,26.2067,26.1555,-0.0513,0.0000,0.0000,0.0000,0.0645,0.0648,0.0004
95,young guy with vr headset,30.8842,30.8842,0.0000,0.0000,0.0000,0.0000,0.1708,0.1708,0.0000
96,waffle with strawberry and syrup for breakfast,30.9919,31.6983,0.7064,0.6781,0.6874,0.0093,0.0482,0.0649,0.0168
97,a dark clouds over shadowing the full moon,28.7019,28.7019,0.0000,0.5387,0.5387,0.0000,0.0151,0.0151,0.0000
98,a plant surrounded by fallen leaves,32.1186,30.0678,-2.0508,0.5150,0.5851,0.0701,0.0622,0.0437,-0.0185
99,a mother preparing food with her kids,29.9517,30.0877,0.1360,0.0000,0.0000,0.0000,0.0441,0.0453,0.0012
