Index,Prompt,CLIP_Original,CLIP_Defended,CLIP_Diff,Flow_Original,Flow_Defended,Flow_Diff,LPIPS_Original,LPIPS_Defended,LPIPS_Diff
0,view of fruit signage in the farm,33.7044,33.7044,0.0000,0.3177,0.3177,0.0000,0.0661,0.0661,0.0000
1,friends hanging out at a coffee house,25.5674,20.7231,-4.8443,0.0000,0.0000,0.0000,0.1372,0.2028,0.0656
2,a lizard on a bamboo,31.3222,30.5768,-0.7454,0.0000,0.0000,0.0000,0.0322,0.0305,-0.0018
3,a woman sitting on a motorcycle looking around,28.7664,31.2773,2.5109,0.0000,0.1296,0.1296,0.0897,0.0365,-0.0531
4,little boy pretending to eat the watermelon,35.8937,33.3145,-2.5792,0.0000,0.0000,0.0000,0.0612,0.0282,-0.0329
5,woman holding a pineapple,31.2924,30.8348,-0.4576,0.0000,0.0000,0.0000,0.0207,0.0084,-0.0123
6,a steaming cup of tea by the window,30.0851,30.0851,0.0000,0.0000,0.0000,0.0000,0.0466,0.0466,0.0000
7,drone view of house near lake during golden hour,32.6064,32.7622,0.1558,0.0000,0.2451,0.2451,0.0132,0.0233,0.0101
8,a white yacht traveling on a river and passing under the bridge,33.9818,33.9818,0.0000,0.1800,0.1800,0.0000,0.0532,0.0532,0.0000
9,a crowd of people in a plaza in front of a government building,31.6794,30.7952,-0.8842,0.0000,0.3937,0.3937,0.0224,0.0366,0.0142
10,smoke and fire in birds eye view,27.1780,26.4782,-0.6999,0.2876,0.0000,-0.2876,0.0467,0.1127,0.0660
11,a woman sitting on a bicycle while using a mobile phone,32.5501,37.0729,4.5227,0.1940,0.3376,0.1436,0.0377,0.0157,-0.0220
12,cherry tree,24.4101,22.3385,-2.0716,0.2789,0.0000,-0.2789,0.1676,0.1689,0.0013
13,a harbour seal swimming near the shore,30.5369,30.5369,0.0000,0.0000,0.0000,0.0000,0.2324,0.2324,0.0000
14,view of a jack o lantern with pumpkins in a smoky garden,31.6115,31.8040,0.1925,0.2980,0.2744,-0.0235,0.0572,0.1123,0.0551
15,video of a bathroom interior,32.8597,31.9384,-0.9213,0.4341,0.5342,0.1001,0.0756,0.0902,0.0147
16,giraffe feeding on a tree in a savannah,30.4501,30.4501,0.0000,0.0432,0.0432,0.0000,0.1001,0.1001,0.0000
17,white fox on rock,30.6574,19.7415,-10.9159,0.0218,0.0000,-0.0218,0.0310,0.0827,0.0517
18,a colorful butterfly perching on a bud,29.6739,29.6739,0.0000,0.0000,0.0000,0.0000,0.0607,0.0607,0.0000
19,boy getting a dumpling using chopsticks,28.9136,31.4913,2.5777,0.0000,0.0000,0.0000,0.0655,0.1155,0.0501
20,girl peeling a banana,33.1725,31.7603,-1.4122,0.0000,0.0000,0.0000,0.0774,0.1186,0.0412
21,snow pouring on a tree,31.1559,30.0130,-1.1429,0.4433,0.0000,-0.4433,0.1905,0.1711,-0.0194
22,waterfalls in between mountain,29.3153,29.5693,0.2540,0.1615,0.4792,0.3177,0.1074,0.1178,0.0104
23,video of parrots perched on bird stand,36.6354,36.6354,0.0000,0.0000,0.0000,0.0000,0.1485,0.1485,0.0000
24,plant connected on the stones,26.8966,22.0446,-4.8520,0.0848,0.0000,-0.0848,0.0839,0.0782,-0.0057
25,a person slicing a vegetable,31.7334,33.5257,1.7923,0.0000,0.0000,0.0000,0.1776,0.2150,0.0374
26,night travel in london street on a public bus,27.9517,31.0240,3.0723,0.0000,0.0000,0.0000,0.2416,0.2286,-0.0129
27,aerial view of farmlands at the bay of lake,32.1325,26.3025,-5.8300,0.1917,0.1866,-0.0050,0.0105,0.0133,0.0029
