Index,Prompt,CLIP_Original,CLIP_Defended,CLIP_Diff,Flow_Original,Flow_Defended,Flow_Diff,LPIPS_Original,LPIPS_Defended,LPIPS_Diff
0,view of fruit signage in the farm,31.5797,31.6623,0.0826,0.0420,0.0780,0.0360,0.2216,0.1660,-0.0556
1,friends hanging out at a coffee house,26.6555,26.1922,-0.4633,0.0000,0.0000,0.0000,0.0742,0.0499,-0.0243
2,a lizard on a bamboo,33.8643,27.9460,-5.9183,0.0000,0.0000,0.0000,0.0181,0.0316,0.0134
3,a woman sitting on a motorcycle looking around,30.0907,30.2787,0.1880,0.0849,0.0000,-0.0849,0.0848,0.0822,-0.0026
4,little boy pretending to eat the watermelon,35.6826,35.2734,-0.4092,0.0000,0.0000,0.0000,0.0748,0.0637,-0.0111
5,woman holding a pineapple,32.8574,34.0679,1.2105,0.0000,0.0000,0.0000,0.0619,0.0657,0.0037
6,a steaming cup of tea by the window,30.8266,30.2011,-0.6255,0.0000,0.0000,0.0000,0.0148,0.0119,-0.0029
7,drone view of house near lake during golden hour,35.9971,35.2316,-0.7655,0.0000,0.0000,0.0000,0.0405,0.0441,0.0036
8,a white yacht traveling on a river and passing under the bridge,33.2243,34.2099,0.9857,0.2458,0.3240,0.0782,0.0407,0.0448,0.0041
9,a crowd of people in a plaza in front of a government building,31.9435,31.2084,-0.7351,0.0000,0.0000,0.0000,0.1005,0.0927,-0.0078
10,smoke and fire in birds eye view,29.8389,30.9187,1.0798,0.0000,0.0000,0.0000,0.0645,0.0309,-0.0336
11,a woman sitting on a bicycle while using a mobile phone,31.7072,31.9635,0.2563,0.4581,0.3265,-0.1316,0.0689,0.0579,-0.0109
12,cherry tree,27.6426,27.8500,0.2074,0.0000,0.0000,0.0000,0.1574,0.1036,-0.0538
13,a harbour seal swimming near the shore,31.1603,30.2519,-0.9084,0.0000,0.5623,0.5623,0.1045,0.0937,-0.0109
14,view of a jack o lantern with pumpkins in a smoky garden,29.5680,31.5246,1.9566,0.0000,0.0000,0.0000,0.0469,0.0622,0.0153
15,video of a bathroom interior,34.5911,33.4516,-1.1395,0.0452,0.0328,-0.0124,0.0576,0.0517,-0.0059
16,giraffe feeding on a tree in a savannah,31.8467,31.9407,0.0940,0.0000,0.0000,0.0000,0.0826,0.0495,-0.0331
17,white fox on rock,35.3946,29.3923,-6.0023,0.2952,0.0000,-0.2952,0.0787,0.0555,-0.0233
18,a colorful butterfly perching on a bud,30.3660,32.4540,2.0880,0.0677,0.2554,0.1877,0.0799,0.0659,-0.0141
19,boy getting a dumpling using chopsticks,31.7763,28.6646,-3.1118,0.0000,0.0000,0.0000,0.1138,0.0769,-0.0369
20,girl peeling a banana,31.4795,30.3487,-1.1308,0.0000,0.0000,0.0000,0.1227,0.1221,-0.0006
21,snow pouring on a tree,29.1802,33.1102,3.9301,0.6558,0.0000,-0.6558,0.1559,0.1318,-0.0241
22,waterfalls in between mountain,27.9490,27.6530,-0.2959,0.0000,0.3070,0.3070,0.1052,0.0765,-0.0287
23,video of parrots perched on bird stand,34.2265,31.7151,-2.5115,0.0000,0.0000,0.0000,0.0838,0.0540,-0.0298
24,plant connected on the stones,28.7828,22.8751,-5.9077,0.5162,0.0877,-0.4285,0.1486,0.1329,-0.0158
25,a person slicing a vegetable,34.0943,29.1122,-4.9821,0.0000,0.0000,0.0000,0.1433,0.1282,-0.0151
26,night travel in london street on a public bus,29.8927,30.5768,0.6841,0.0000,0.0000,0.0000,0.0585,0.0535,-0.0050
27,aerial view of farmlands at the bay of lake,28.4236,27.8829,-0.5407,0.0009,0.0000,-0.0009,0.0147,0.0112,-0.0035
28,close up of a prototype automobile with exposed engine on the back seat of the car,26.6061,27.1887,0.5827,0.5050,0.5680,0.0630,0.0419,0.0423,0.0003
